Moment 1,Moment 2,Moment 3,Value 1,Value 2,Value 3
0,-3,-2,0.0005759411540923688,1.6541771875987632e-05,4.491696154654103e-05
0,-3,-1,0.0005395067062966472,2.4465977060052003e-05,0.0002536175878719205
0,-3,1,0.00027070061776553374,1.580873499101507e-05,0.0001456137414912732
0,-3,2,0.001966025339287632,5.358100579301595e-05,0.0011066793392980607
0,-3,4,8.072791383572262e-05,1.819446742805976e-05,1.4158995422624816e-05
0,-3,5,9.040969125300597e-05,6.870071293298295e-06,4.850961491636365e-06
0,-3,6,9.812997768218271e-05,2.1366039481953522e-05,1.3045715136159947e-05
0,-3,7,0.00018208170657178915,1.0808797423753198e-05,5.297829210831876e-06
0,-3,8,0.00025711999741109565,1.5779579312534276e-05,1.4177892546963242e-05
0,-3,9,0.0002443984946887151,2.3060500069607735e-05,5.288158501758522e-06
0,-3,10,0.0002832344987832786,1.9596890102249756e-05,1.0314711598355033e-05
0,-3,11,0.0005416082488498684,2.4303936216022954e-05,6.345701301118267e-06
0,-3,12,0.0005944276104246115,3.866036029868244e-05,2.9430270896125437e-06
0,-2,-1,0.00048488873201102525,5.814926086759472e-05,0.00022306616302784506
0,-2,1,0.00044220619673046124,4.791342386584197e-05,0.00025235728984991266
0,-2,2,0.00024168057306858307,3.1889494582514916e-05,8.292186347636395e-05
0,-2,4,7.195866262899055e-05,1.1702491547349239e-05,9.761096259781067e-06
0,-2,5,5.582994942105347e-05,1.0433451334432179e-05,5.874971121129005e-06
0,-2,6,8.0830199442347e-05,1.9464508391405903e-05,5.045860709536017e-06
0,-2,7,0.00015373735943363193,2.335266494341329e-05,6.697293550462789e-06
0,-2,8,0.00024625118799030373,2.8380696987147586e-05,5.411297288134282e-06
0,-2,9,0.0003913501241223586,3.4993200188280526e-05,3.241785019890972e-06
0,-2,10,0.0008789542117256501,8.597730991087183e-05,3.1873531844543427e-06
0,-2,11,0.0003661756930159148,4.422712928421531e-05,4.394443176086621e-06
0,-2,12,0.00045274406883605376,4.523357516214368e-05,3.879236960851673e-06
0,-1,1,0.0015224806922715366,0.0005644552561487792,0.0009656654606702478
0,-1,2,0.0016763721215505168,0.0006139656823422878,0.0008220663727552098
0,-1,4,6.920500219585745e-05,5.7322191389053746e-05,1.7669923533116477e-05
0,-1,5,7.17367844691555e-05,3.244255535157319e-05,5.5671207954215215e-06
0,-1,6,7.136679710417392e-05,3.77932096411774e-05,7.120270890428833e-05
0,-1,7,0.00013556887115387682,6.586223741514404e-05,4.907502411568392e-06
0,-1,8,0.00019154485563756032,8.430777019420483e-05,7.458492241345478e-06
0,-1,9,0.0003545790756517994,0.00014861879458872128,6.348116007783625e-06
0,-1,10,0.0007644235316884032,0.00028477092535895835,5.639459433342586e-06
0,-1,11,0.0008900813388608092,0.00032948116041028847,5.203473381472416e-06
0,-1,12,0.0007417152079954182,0.0002883216631426997,4.792759991210518e-06
0,1,2,0.0006774270105945506,0.00044736175350981565,0.0003420504306341045
0,1,4,7.091811907088198e-05,4.0057291601253255e-05,5.798754725793406e-06
0,1,5,7.263757006872155e-05,4.693954737575526e-05,3.0735785907986667e-06
0,1,6,9.438405052351465e-05,5.336652946953863e-05,5.114836534145554e-06
0,1,7,0.00016261698943003845,7.236925836843981e-05,1.0058281514852586e-05
0,1,8,0.00031447993221678954,0.0001760032682476292,7.116395107669827e-06
0,1,9,0.0004315931403546318,0.00023089888111316932,3.2102099647376415e-06
0,1,10,0.0005783146889174612,0.00036418629897701514,4.6763789023808156e-06
0,1,11,0.00048336394962770053,0.00023763584272766883,9.625115175569511e-06
0,1,12,0.0005227434669234075,0.00027801099060903786,1.4676813558889818e-05
0,2,4,8.710270542391226e-05,3.8948129375111556e-05,8.198646479758078e-06
0,2,5,7.634813226393873e-05,4.411380576931141e-05,1.3528258654041939e-05
0,2,6,0.00015106564674836206,0.00011328820603167091,1.7227177574204604e-05
0,2,7,0.00016009951061988394,6.98089512016204e-05,9.69912097610273e-06
0,2,8,0.00023859051381786058,9.716054667147142e-05,5.256386751241781e-06
0,2,9,0.00033113109628338857,9.874429629183925e-05,5.634601223569913e-05
0,2,10,0.000925506139948301,0.0002987573405115884,4.868002202360705e-06
0,2,11,0.000246075702232703,9.728200280701785e-05,4.11409443976005e-06
0,2,12,0.0006674788272381975,0.00025260742835088706,8.044843268210715e-06
0,4,5,7.2717764992727e-05,1.7862590342382115e-05,7.503593841666942e-06
0,4,6,6.1018226705568046e-05,1.0568743468150108e-05,3.0964037856166986e-06
0,4,7,8.847064914227642e-05,1.1913113419122704e-05,8.57760369846999e-06
0,4,8,6.773769900444591e-05,1.6956285489497624e-05,2.854727776709237e-06
0,4,9,0.00014611537268005846,2.278226823908842e-05,4.50229140096216e-06
0,4,10,0.00010144194798401078,2.3804229183860825e-05,1.5698957087302584e-05
0,4,11,0.00025000310038332735,1.2517115195499421e-05,1.2842632491305205e-05
0,4,12,0.00019492559550291814,4.003849610769965e-05,2.578413133742828e-05
0,5,6,4.939981588035491e-05,1.1999082245053737e-05,6.380413557710341e-06
0,5,7,7.296525694018964e-05,1.7663590816828024e-05,8.603128657621183e-06
0,5,8,4.6913330653105946e-05,6.6081981239867305e-06,7.536267636619571e-06
0,5,9,0.00023536993508945482,4.106237733335771e-05,8.430289722849782e-06
0,5,10,4.9557211565735234e-05,2.080108472263016e-05,2.7487164561983282e-05
0,5,11,6.49795911563731e-05,6.7807876906363305e-06,3.6560334108151545e-06
0,5,12,6.729973209789447e-05,4.8262004778555745e-05,1.8292808541183306e-05
0,6,7,5.7044167206533366e-05,2.863465413436296e-05,4.814095039555513e-05
0,6,8,6.164298485948482e-05,1.2062990872878027e-05,8.062623161707237e-06
0,6,9,7.281076123957713e-05,8.967085840596388e-06,5.6009485285979365e-06
0,6,10,5.313241877038478e-05,7.620207464953444e-06,3.956711970484608e-06
0,6,11,7.029755238925553e-05,1.9638468796565875e-05,1.9493330946468294e-05
0,6,12,8.494731741350151e-05,5.818203949392581e-06,4.004689785207639e-06
0,7,8,0.00012676717452168927,8.442410091286004e-06,8.711200781161315e-06
0,7,9,0.00016925347775670896,5.426878214002242e-06,5.359156082807396e-06
0,7,10,0.00015947398027926993,3.085040386975635e-05,1.349165619265336e-05
0,7,11,0.00018134214839020694,6.8705154394854264e-06,1.4115416158911288e-05
0,7,12,0.0002084625513222558,1.1051407968600073e-05,4.40786539573228e-06
0,8,9,0.0003045503151576847,1.0018580318577387e-05,1.119633893041044e-05
0,8,10,0.0003331682026100908,2.9441554793739962e-05,1.866259395493212e-05
0,8,11,0.000299979985434144,6.0456874584117194e-06,7.370245287319627e-06
0,8,12,0.00037603347600830245,8.019719906849361e-06,1.193487123375023e-05
0,9,10,0.000549893822403253,2.3803845825259295e-05,1.7999727884821815e-05
0,9,11,0.000659401484991823,1.1899236216984433e-05,9.38188790314886e-06
0,9,12,0.0005257824418220808,8.504021869333527e-06,8.104274593807008e-06
0,10,11,0.0007895298948457997,1.2357804600784327e-05,8.072248328511164e-06
0,10,12,0.000741182391944852,1.1280292208086043e-05,1.0654934152252815e-05
0,11,12,0.0007693640733096463,8.493665166715322e-06,8.23943981934252e-06
